Escherichia coli str. K-12 substr. MG1655, complete genome. (ncbi_taxid:511145) - 1..4641652

4511 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
2214865..2215647	+	783	NP_416812.1	hisJ	b2309			histidine ABC transporter periplasmic binding protein
2213862..2214644	+	783	NP_416813.1	argT	b2310			lysine/arginine/ornithine ABC transporter periplasmic binding protein
2213027..2213596	+	570	NP_416814.1	ubiX	b2311			flavin prenyltransferase
2211415..2212932	+	1518	NP_416815.1	purF	b2312			amidophosphoribosyltransferase
2210890..2211378	+	489	NP_416816.1	cvpA	b2313			colicin V production protein
2209969..2210631	+	663	NP_416817.2	dedD	b2314			cell division protein DedD
2208711..2209979	+	1269	NP_416818.1	folC	b2315			bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase
2207727..2208641	+	915	NP_416819.1	accD	b2316			acetyl-CoA carboxyltransferase subunit beta
2206912..2207571	+	660	NP_416820.1	dedA	b2317			DedA family protein DedA
2206017..2206829	+	813	NP_416821.1	truA	b2318			tRNA pseudouridine(38-40) synthase
2205004..2206017	+	1014	NP_416822.1	usg	b2319			putative semialdehyde dehydrogenase Usg
2203802..2204938	+	1137	NP_416823.1	pdxB	b2320			erythronate-4-phosphate dehydrogenase
2202708..2203703	-	996	NP_416824.1	flk	b2321			putative flagella assembly protein
2201533..2202711	+	1179	NP_416825.1	yfcJ	b2322			putative transporter YfcJ
2200048..2201268	+	1221	NP_416826.1	fabB	b2323			3-oxoacyl-[acyl carrier protein] synthase 1
2197883..2199889	-	2007	NP_416827.4	mnmC	b2324			fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase
2197484..2197762	+	279	NP_416828.1	yfcL	b2325			PF08891 family protein YfcL
2196902..2197450	+	549	NP_416829.1	epmC	b2326			EF-P-Lys34 hydroxylase
2196093..2196902	+	810	NP_416830.1	yfcA	b2327			putative transporter YfcA
2195269..2196093	+	825	NP_416831.1	mepA	b2328			peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase
2194180..2195265	+	1086	NP_416832.1	aroC	b2329			chorismate synthase
2193213..2194145	+	933	NP_416833.4	prmB	b2330			ribosomal protein L3 N(5)-glutamine methyltransferase
2192496..2193047	-	552	NP_416834.1	smrB	b2331			putative endonuclease SmrB
2191604..2192425	+	822	NP_416835.2	yfcO	b2332			DUF2544 domain-containing protein YfcO
2191063..2191602	+	540	NP_416836.1	yfcP	b2333			putative fimbrial protein YfcP
2190578..2191066	+	489	NP_416837.1	yfcQ	b2334			putative fimbrial protein YfcQ
2190069..2190581	+	513	NP_416838.1	yfcR	b2335			putative fimbrial protein YfcR
2189317..2190069	+	753	NP_416839.1	yfcS	b2336			putative fimbrial chaperone YfcS
2186007..2186570	+	564	NP_416841.1	yfcV	b2339			putative fimbrial protein YfcV
2184841..2185326	+	486	NP_416842.1	sixA	b2340			phosphohistidine phosphatase SixA
2182494..2184638	+	2145	NP_416843.1	fadJ	b2341			3-hydroxyacyl-CoA dehydrogenase FadJ
2181184..2182494	+	1311	NP_416844.1	fadI	b2342			3-ketoacyl-CoA thiolase FadI
2180719..2181003	+	285	NP_416845.2	yfcZ	b2343			DUF406 domain-containing protein YfcZ
2179007..2180347	-	1341	NP_416846.2	fadL	b2344			long-chain fatty acid outer membrane channel/bacteriophage T2 receptor
2177583..2178641	-	1059	NP_416847.1	yfdF	b2345			protein YfdF
2176646..2177401	+	756	NP_416848.1	mlaA	b2346			intermembrane phospholipid transport system - outer membrane lipoprotein MlaA
2175420..2176352	-	933	NP_416849.1	yfdC	b2347			inner membrane protein YfdC
2175270..2175344	-	75		argW	b2348			tRNA-Arg
2173951..2175108	-	1158	NP_416850.1	intS	b2349			prophage CPS-53 integrase
2173436..2173798	-	363	NP_416851.1	yfdG	b2350			putative bactoprenol-linked glucose translocase
2172519..2173439	-	921	NP_416852.1	yfdH	b2351			bactoprenol glucosyl transferase
2171191..2172522	-	1332	NP_416853.1	yfdI	b2352			serotype-specific glucosyl transferase YfdI
2171010..2171156	+	147	YP_010051190.1	yodE	b4780			toxic protein YodE
2170136..2170576	+	441	NP_416855.1	yfdK	b2354			putative tail fiber assembly protein YfdK
2169266..2169541	+	276	YP_009518803.1	yfdM	b2356			putative methyltransferase YfdM
2168772..2169266	+	495	NP_416858.1	yfdN	b2357			uncharacterized protein YfdN
2168407..2168775	+	369	YP_009518804.1	yfdO	b2358			protein YdfO
2167687..2168049	-	363	NP_416860.4	yfdP	b2359			uncharacterized protein YfdP
2166797..2167621	-	825	NP_416861.1	yfdQ	b2360			DUF2303 domain-containing protein YfdQ
2166133..2166669	-	537	NP_416862.2	yfdR	b2361			5'-deoxynucleotidase
2165780..2166142	-	363	NP_416863.1	yfdS	b2362			protein YfdS
2165475..2165780	-	306	NP_416864.1	yfdT	b2363			protein YfdT
2165419..2165559	-	141	YP_009518805.1	ypdJ	b4545			putative uncharacterized protein YpdJ
2165143..2165343	-	201	YP_588463.1	torI	b4501			prophage CPS-53 recombination directionality factor and response regulator inhibitor
2164024..2164959	+	936	NP_416865.1	dsdC	b2364			DNA-binding transcriptional dual regulator DsdC
2162469..2163806	-	1338	NP_416866.1	dsdX	b2365			D-serine transporter
2161123..2162451	-	1329	NP_416867.1	dsdA	b2366			D-serine ammonia-lyase
2159477..2161015	+	1539	NP_416868.1	emrY	b2367			tripartite efflux pump membrane subunit EmrY
2158314..2159477	+	1164	NP_416869.1	emrK	b2368			tripartite efflux pump membrane fusion protein EmrK
2157895..2157924	-	30	YP_010051191.1	evgL	b4781			protein EvgL
2157284..2157898	-	615	NP_416870.1	evgA	b2369			DNA-binding transcriptional activator EvgA
2153686..2157279	-	3594	NP_416871.1	evgS	b2370			sensor histidine kinase EvgS
2152485..2153630	+	1146	NP_416872.4	yfdE	b2371			acetyl-CoA:oxalate CoA-transferase
2151467..2152411	+	945	NP_416873.1	yfdV	b2372			putative transport protein YfdV
2149703..2151397	+	1695	NP_416874.1	oxc	b2373			oxalyl-CoA decarboxylase
2148399..2149649	+	1251	NP_416875.1	frc	b2374			formyl-CoA transferase
2147251..2147886	+	636	NP_416876.1	yfdX	b2375			protein YfdX
2146680..2146955	-	276	NP_416877.1	ypdI	b2376			colanic acid synthesis putative lipoprotein YpdI
2146361..2146603	+	243	NP_416878.1	yfdY	b2377			DUF2545 domain-containing protein YfdY
2145088..2146008	-	921	NP_416879.4	lpxP	b2378			palmitoleoyl acyltransferase
2144661..2144732	-	72	YP_002791250.1	ypdK	b4680			putative membrane protein YpdK
2143358..2144596	+	1239	NP_416880.1	alaC	b2379			glutamate--pyruvate aminotransferase AlaC
2141285..2142982	-	1698	NP_416881.1	pyrS	b2380			sensor histidine kinase PyrS
2140536..2141270	-	735	NP_416882.1	pyrR	b2381			DNA-binding transcriptional activator PyrR
2139666..2140523	-	858	NP_416883.1	ypdC	b2382			putative AraC-type DNA-binding transcriptional regulator YpdC
2137168..2139663	+	2496	NP_416884.1	fryA	b2383			putative PTS multiphosphoryl transfer protein FryA
2136106..2137143	+	1038	NP_416885.1	ypdE	b2384			aminopeptidase YpdE
2135021..2136106	+	1086	NP_416886.1	ypdF	b2385			aminopeptidase YpdF
2133759..2135006	+	1248	NP_416887.1	fryC	b2386			putative PTS enzyme IIC component FryC
2133411..2133737	+	327	NP_416888.1	fryB	b2387			putative PTS enzyme IIB component FryB
2132227..2133192	+	966	NP_416889.1	glk	b2388			glucokinase
2130767..2132023	-	1257	NP_416890.1	yfeO	b2389			putative transport protein YfeO
2130326..2130652	-	327	NP_416891.1	ypeC	b2390			DUF2502 domain-containing protein YpeC
2128947..2130185	+	1239	NP_416893.1	mntH	b2392			Mn(2(+))/Fe(2(+)): H(+) symporter MntH
2128877..2128966	+	90	YP_010283913.1	ypeD	b4819			protein YpeD
2127409..2128611	-	1203	NP_416894.1	nupC	b2393			nucleoside:H(+) symporter NupC
2126210..2127322	-	1113	NP_416895.2	insL3	b2394			putative IS186/IS421 transposase
2123821..2126010	+	2190	NP_416896.4	pdeA	b2395			putative c-di-GMP phosphodiesterase PdeA
2123537..2123612	+	76		alaX	b2396			tRNA-Ala
2123422..2123497	+	76		alaW	b2397			tRNA-Ala
2122842..2123186	-	345	NP_416897.2	yfeC	b2398			DNA-binding transcriptional dual regulator YfeC
2122448..2122840	-	393	NP_416898.3	yfeD	b2399			putative DNA-binding transcriptional regulator YfeD
2120981..2122396	+	1416	NP_416899.1	gltX	b2400			glutamate--tRNA ligase
2120647..2120722	-	76		valU	b2401			tRNA-Val
2120527..2120602	-	76		valX	b2402			tRNA-Val
2120405..2120480	-	76		valY	b2403			tRNA-Val
2120325..2120400	-	76		lysV	b2404			tRNA-Lys
2119176..2120060	+	885	NP_416900.1	xapR	b2405			DNA-binding transcriptional activator XapR
2117668..2118924	+	1257	NP_416901.1	xapB	b2406			xanthosine:H(+) symporter XapB
2116775..2117608	+	834	NP_416902.1	xapA	b2407			xanthosine phosphorylase
2115762..2116526	-	765	NP_416903.1	yfeN	b2408			putative outer membrane porin YfeN
2114797..2115723	+	927	NP_416904.1	yfeR	b2409			putative DNA-binding transcriptional regulator YfeR
2113709..2114707	-	999	NP_416905.1	yfeH	b2410			putative solute:Na(+) symporter
2113494..2113712	+	219	YP_588464.1	ypeB	b4546			PF12843 family protein YpeB
2111477..2113492	+	2016	NP_416906.1	ligA	b2411			DNA ligase
2110420..2111406	+	987	NP_416907.1	zipA	b2412			cell division protein ZipA
2109429..2110190	-	762	NP_416908.1	cysZ	b2413			sulfate:H(+) symporter
2108273..2109244	-	972	NP_416909.1	cysK	b2414			cysteine synthase A
2107632..2107889	-	258	NP_416910.1	ptsH	b2415			phosphocarrier protein HPr
2105860..2107587	-	1728	NP_416911.1	ptsI	b2416			PTS enzyme I
2105310..2105819	-	510	NP_416912.1	crr	b2417			Enzyme IIA(Glc)
2104416..2105267	+	852	NP_416913.1	pdxK	b2418			pyridoxine/pyridoxal/pyridoxamine kinase
2103937..2104311	-	375	NP_416914.1	yfeK	b2419			DUF5329 domain-containing protein YfeK
2103170..2103904	-	735	NP_416915.1	yfeS	b2420			PF05406 family protein YfeS
2102070..2102981	+	912	NP_416916.1	cysM	b2421			cysteine synthase B
2100839..2101936	+	1098	NP_416917.1	cysA	b2422			sulfate/thiosulfate ABC transporter ATP binding subunit
2099974..2100849	+	876	YP_026168.2	cysW	b2423			sulfate/thiosulfate ABC transporter inner membrane subunit CysW
2099141..2099974	+	834	NP_416919.1	cysU	b2424			sulfate/thiosulfate ABC transporter inner membrane subunit CysU
2098125..2099141	+	1017	NP_416920.1	cysP	b2425			thiosulfate/sulfate ABC transporter periplasmic binding protein CysP
2097030..2097821	+	792	NP_416921.4	ucpA	b2426			oxidoreductase UcpA
2096044..2096901	+	858	NP_416922.1	murR	b2427			DNA-binding transcriptional dual regulator MurR
2094984..2095880	-	897	NP_416923.1	murQ	b2428			N-acetylmuramic acid 6-phosphate etherase
2093556..2094980	-	1425	NP_416924.1	murP	b2429			N-acetylmuramic acid-specific PTS enzyme IICB component/anhydro-N-acetylmuramic acid transporter
2092247..2093551	-	1305	NP_416925.2	yfeW	b2430			penicillin binding protein 4B
2091108..2092007	+	900	NP_416926.4	yfeX	b2431			porphyrinogen peroxidase
2090437..2091012	+	576	NP_416927.1	yfeY	b2432			DUF1131 domain-containing lipoprotein YfeY
2089927..2090376	+	450	NP_416928.4	yfeZ	b2433			putative inner membrane protein
2089515..2089940	+	426	NP_416929.4	ypeA	b2434			putative acetyltransferase YpeA
2088432..2089301	-	870	NP_416930.1	amiA	b2435			N-acetylmuramoyl-L-alanine amidase A
2087529..2088428	-	900	NP_416931.1	hemF	b2436			coproporphyrinogen III oxidase
2086471..2087523	+	1053	NP_416932.1	eutR	b2437			putative DNA-binding transcriptional regulator EutR
2085925..2086425	+	501	NP_416933.4	eutK	b2438			putative structural protein, ethanolamine utilization microcompartment
2085253..2085912	+	660	NP_416934.1	eutL	b2439			putative structural protein, ethanolamine utilization microcompartment
2084356..2085243	+	888	NP_416935.1	eutC	b2440			ethanolamine ammonia-lyase subunit beta
2082974..2084335	+	1362	NP_416936.4	eutB	b2441			ethanolamine ammonia-lyase subunit alpha
2081587..2082795	-	1209	NP_416937.2	intZ	b2442			putative phage integrase IntZ
2080755..2081396	-	642	NP_416938.1	yffL	b2443			uncharacterized protein YffL
2080040..2080285	-	246	NP_416939.1	yffM	b2444			uncharacterized protein YffM
2079660..2080028	-	369	NP_416940.2	yffN	b2445			uncharacterized protein YffN
2079126..2079542	-	417	NP_416941.1	yffO	b2446			uncharacterized protein YffO
2078536..2079129	-	594	NP_416942.1	yffP	b2447			uncharacterized protein YffP
2077684..2078061	-	378	NP_416943.2	yffQ	b2448			uncharacterized protein YffQ
2077281..2077673	-	393	NP_416944.1	yffR	b2449			uncharacterized protein YffR
2076321..2077130	-	810	NP_416945.2	yffS	b2450			uncharacterized protein YffS
2074769..2076172	+	1404	NP_416946.1	eutA	b2451			ethanolamine ammonia-lyase reactivase EutA
2073546..2074772	+	1227	NP_416947.1	eutH	b2452			putative ethanolamine permease EutH
2072142..2073329	+	1188	NP_416948.4	eutG	b2453			putative alcohol dehydrogenase EutG
2071316..2072152	+	837	NP_416949.1	eutJ	b2454			putative ethanolamine utilization chaperonin EutJ
2069902..2071305	+	1404	NP_416950.1	eutE	b2455			acetaldehyde dehydrogenase (acetylating) EutE
2069603..2069890	+	288	NP_416951.1	eutN	b2456			putative ethanolamine catabolic microcompartment shell protein EutN
2069203..2069496	+	294	NP_416952.2	eutM	b2457			putative ethanolamine catabolic microcompartment shell protein EutM
2068148..2069164	+	1017	NP_416953.1	eutD	b2458			phosphate acetyltransferase EutD
2067348..2068151	+	804	NP_416954.1	eutT	b2459			putative ethanolamine utilization cobalamin adenosyltransferase
2066650..2067351	+	702	NP_416955.1	eutQ	b2460			putative ethanolamine utilization acetate kinase EutQ
2066196..2066675	+	480	NP_416956.1	eutP	b2461			putative ethanolamine utilization acetate kinase EutP
2065848..2066183	+	336	NP_416957.4	eutS	b2462			putative ethanolamine catabolic microcompartment shell protein EutS
2063276..2065555	+	2280	NP_416958.1	maeB	b2463			malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
2062037..2062987	-	951	NP_416959.1	talA	b2464			transaldolase A
2060014..2062017	-	2004	NP_416960.1	tktB	b2465			transketolase 2
2058876..2059919	+	1044	NP_416961.1	ypfG	b2466			DUF1176 domain-containing protein YpfG
2058175..2058750	+	576	NP_416962.1	nudK	b2467			GDP-mannose hydrolase
2056128..2058107	+	1980	NP_416963.1	aegA	b2468			putative oxidoreductase AegA
2054222..2055922	-	1701	NP_416964.1	narQ	b2469			sensor histidine kinase NarQ
2050945..2054058	-	3114	NP_416965.1	acrD	b2470			multidrug efflux pump RND permease AcrD
2050787..2050846	+	60	YP_001165325.1	ypfM	b4606			uncharacterized protein YpfM
2050050..2050406	-	357	NP_416966.1	yffB	b2471			putative reductase YffB
2048919..2050046	-	1128	NP_416967.1	dapE	b2472			succinyl-diaminopimelate desuccinylase
2048691..2048891	-	201	YP_588465.1	ypfN	b4547			PF13980 family protein YpfN
2047883..2048581	+	699	NP_416968.2	ypfH	b2473			esterase YpfH
2045794..2047809	+	2016	NP_416969.1	tmcA	b2474			tRNA(Met) cytidine acetyltransferase
2044916..2045779	+	864	NP_416970.1	ypfJ	b2475			uncharacterized protein YpfJ
2044035..2044748	+	714	NP_416971.1	purC	b2476			phosphoribosylaminoimidazole-succinocarboxamide synthase
2042788..2043822	+	1035	NP_416972.4	bamC	b2477			outer membrane protein assembly factor BamC
2041893..2042771	+	879	NP_416973.1	dapA	b2478			4-hydroxy-tetrahydrodipicolinate synthase
2041175..2041747	-	573	NP_416974.4	gcvR	b2479			putative transcriptional regulator GcvR
2040705..2041175	-	471	NP_416975.1	bcp	b2480			thiol peroxidase
2039835..2040452	-	618	NP_416976.4	hyfA	b2481			hydrogenase 4 component A
2037817..2039835	-	2019	NP_416977.1	hyfB	b2482			hydrogenase 4 component B
2036859..2037806	-	948	NP_416978.4	hyfC	b2483			hydrogenase 4 component C
2035403..2036842	-	1440	NP_416979.1	hyfD	b2484			hydrogenase 4 component D
2034741..2035391	-	651	NP_416980.1	hyfE	b2485			hydrogenase 4 component E
2033156..2034736	-	1581	NP_416981.1	hyfF	b2486			hydrogenase 4 component F
2031499..2033166	-	1668	NP_416982.1	hyfG	b2487			hydrogenase 4 catalytic subunit HyfG
2030944..2031489	-	546	NP_416983.1	hyfH	b2488			hydrogenase 4 component H
2030189..2030947	-	759	NP_416984.1	hyfI	b2489			hydrogenase 4 catalytic subunit HyfI
2029783..2030196	-	414	NP_416985.4	hyfJ	b2490			putative hydrogenase 4 assembly protein
2027741..2029753	-	2013	NP_416986.4	hyfR	b2491			DNA-binding transcriptional activator HyfR
2026871..2027719	-	849	NP_416987.1	focB	b2492			formate channel FocB
2025772..2026833	+	1062	NP_416988.1	yfgO	b2493			putative transporter YfgO
2024096..2025559	-	1464	NP_416989.1	bepA	b2494			beta-barrel assembly-enhancing protease
2023716..2024075	-	360	NP_416990.1	yfgD	b2495			putative oxidoreductase YfgD
2022877..2023578	+	702	NP_416991.2	hda	b2496			inibitor of reinitiation of DNA replication
2021493..2022782	+	1290	NP_416992.1	uraA	b2497			uracil:H(+) symporter UraA
2020781..2021407	+	627	NP_416993.2	upp	b2498			uracil phosphoribosyltransferase
2019419..2020456	-	1038	NP_416994.1	purM	b2499			phosphoribosylformylglycinamide cyclo-ligase
2018781..2019419	-	639	NP_416995.1	purN	b2500			phosphoribosylglycinamide formyltransferase 1
2016543..2018609	-	2067	NP_416996.1	ppk	b2501			polyphosphate kinase
2014997..2016538	-	1542	NP_416997.1	ppx	b2502			exopolyphosphatase
2012715..2014958	+	2244	NP_416998.1	pdeF	b2503			cyclic di-GMP phosphodiesterase PdeF
2012172..2012363	-	192	NP_416999.1	yfgG	b2504			nickel/cobalt stress response protein YfgG
2011343..2011861	-	519	NP_417000.1	yfgH	b2505			lipoprotein YfgH
2010788..2011327	-	540	NP_417001.1	yfgI	b2506			nalidixic acid resistance protein YfgI
2009118..2010695	+	1578	NP_417002.1	guaA	b2507			GMP synthetase
2007583..2009049	+	1467	NP_417003.1	guaB	b2508			inosine 5'-monophosphate dehydrogenase
2006051..2007421	-	1371	NP_417004.1	xseA	b2509			exodeoxyribonuclease VII subunit XseA
2005839..2006054	+	216	NP_417005.2	yfgJ	b2510			zinc ribbon domain-containing protein YfgJ
2004297..2005769	+	1473	NP_417006.2	der	b2511			50S ribosomal subunit stability factor
2003001..2004179	+	1179	NP_417007.1	bamB	b2512			outer membrane protein assembly factor BamB
2002370..2002990	+	621	NP_417008.1	yfgM	b2513			ancillary SecYEG translocon subunit
2001078..2002352	+	1275	NP_417009.1	hisS	b2514			histidine--tRNA ligase
2000967..2001058	+	92		sroE	b4761			small RNA SroE
1999849..2000967	+	1119	NP_417010.1	ispG	b2515			(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
1998809..1999822	+	1014	NP_417011.1	rodZ	b2516			cytoskeleton protein RodZ
1997370..1998524	+	1155	NP_417012.1	rlmN	b2517			23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase
1996789..1997220	+	432	NP_417013.1	ndk	b2518			nucleoside diphosphate kinase
1994328..1996640	+	2313	NP_417014.1	pbpC	b2519			peptidoglycan glycosyltransferase PbpC
1989366..1994327	+	4962	NP_417015.1	yfhM	b2520			alpha2-macroglobulin
1988314..1989159	-	846	NP_417016.4	sseA	b2521			3-mercaptopyruvate sulfurtransferase
1988198..1988297	+	100		timR	b4811			putative small regulatory RNA TimR
1987495..1987798	-	304		ryfA	b4440			small regulatory RNA RyfA
1987527..1987652	-	126	YP_010283914.1	timP	b4812			putative toxic protein TimP
1986720..1987496	+	777	NP_417017.4	sseB	b2522			protein SseB
1985295..1986578	+	1284	NP_417018.4	pepB	b2523			aminopeptidase B
1984917..1985117	+	201	NP_417019.1	iscX	b2524			accessory iron-sulfur cluster assembly protein IscX
1984570..1984905	+	336	NP_417020.1	fdx	b2525			reduced ferredoxin
1982718..1984568	+	1851	NP_417021.1	hscA	b2526			iron-sulfur cluster biosynthesis chaperone HscA
1982186..1982701	+	516	NP_417022.1	hscB	b2527			[Fe-S] cluster biosynthesis co-chaperone HscB
1981767..1982090	+	324	NP_417023.1	iscA	b2528			iron-sulfur cluster insertion protein IscA
1981364..1981750	+	387	NP_417024.1	iscU	b2529			scaffold protein for iron-sulfur cluster assembly
1980122..1981336	+	1215	YP_026169.1	iscS	b2530			cysteine desulfurase IscS
1979522..1980010	+	489	NP_417026.1	iscR	b2531			DNA-binding transcriptional dual regulator IscR
1978330..1979070	+	741	NP_417027.1	trmJ	b2532			tRNA Cm32/Um32 methyltransferase
1977408..1978211	-	804	NP_417028.1	suhB	b2533			Nus factor SuhB
1976409..1977263	-	855	NP_417029.4	yfhR	b2534			putative peptidase
1974938..1976218	-	1281	NP_417030.2	csiE	b2535			stationary phase-inducible protein CsiE
1973807..1974946	+	1140	NP_417031.1	hcaT	b2536			putative 3-phenylpropionate transporter
1972757..1973647	+	891	NP_417032.1	hcaR	b2537			DNA-binding transcriptional dual regulator HcaR
1973582..1973647	+	66	YP_008592385.1	iroK	b4706			protein IroK
1971260..1972621	-	1362	NP_417033.1	hcaE	b2538			putative 3-phenylpropionate/cinnamate dioxygenase subunit alpha
1970745..1971263	-	519	NP_417034.1	hcaF	b2539			putative 3-phenylpropionate/cinnamate dioxygenase subunit beta
1970425..1970745	-	321	NP_417035.1	hcaC	b2540			putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit
1969616..1970428	-	813	NP_417036.1	hcaB	b2541			2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase
1968404..1969606	-	1203	NP_417037.1	hcaD	b2542			putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit
1967885..1968307	-	423	NP_417038.4	yphA	b2543			putative inner membrane protein
1966965..1967837	+	873	NP_417039.1	yphB	b2544			putative aldose 1-epimerase YphB
1965892..1966953	+	1062	NP_417040.2	yphC	b2545			putative zinc-binding dehydrogenase YphC
1964828..1965826	+	999	NP_417041.1	yphD	b2546			putative ABC transporter membrane subunit YphD
1963292..1964803	+	1512	NP_417042.1	yphE	b2547			putative ABC transporter ATP-binding protein YphE
1962286..1963269	+	984	NP_417043.1	yphF	b2548			putative ABC transporter periplasmic binding protein YphF
1958908..1962189	+	3282	NP_417044.4	yphG	b2549			DUF5107 domain-containing protein YphG
1957597..1958790	-	1194	NP_417045.4	yphH	b2550			putative DNA-binding transcriptional regulator, NAGC-like
1956146..1957399	+	1254	NP_417046.1	glyA	b2551			serine hydroxymethyltransferase
1954628..1955818	-	1191	NP_417047.1	hmp	b2552			nitric oxide dioxygenase
1954245..1954583	+	339	NP_417048.1	glnB	b2553			nitrogen regulatory protein PII-1
1952850..1954184	+	1335	NP_417049.1	glrR	b2554			DNA-binding transcriptional activator GlrR
1952147..1952860	+	714	NP_417050.1	qseG	b2555			outer membrane lipoprotein QseG
1950555..1951982	+	1428	NP_417051.2	glrK	b2556			histidine kinase GlrK
1950313..1950496	+	184		glmY	b4441			small regulatory RNA GlmY
1946110..1949997	+	3888	YP_026170.1	purL	b2557			phosphoribosylformylglycinamide synthetase
1944296..1945852	-	1557	NP_417053.2	mltF	b2558			membrane-bound lytic murein transglycosylase F
1943796..1944299	+	504	NP_417054.2	tadA	b2559			tRNA adenosine(34) deaminase
1943103..1943738	+	636	NP_417055.4	pgpC	b2560			phosphatidylglycerophosphatase C
1942046..1942894	-	849	NP_417056.2	yfhH	b2561			putative DNA-binding transcriptional regulator YfhH
1941730..1941990	-	261	NP_417057.1	yfhL	b2562			putative 4Fe-4S cluster-containing protein YfhL
1941456..1941536	+	81	YP_002791251.1	shoB	b4687			toxic peptide ShoB
1941055..1941133	-	79		ohsC	b4608			small regulatory RNA OhsC
1940655..1941035	+	381	NP_417058.1	acpS	b2563			holo-[acyl-carrier-protein] synthase
1939924..1940655	+	732	NP_417059.1	pdxJ	b2564			pyridoxine 5'-phosphate synthase
1939184..1939912	+	729	NP_417060.1	recO	b2565			recombination mediator protein RecO
1938267..1939172	+	906	NP_417061.1	era	b2566			30S ribosomal subunit maturation GTPase Era
1937590..1938270	+	681	NP_417062.1	rnc	b2567			RNase III
1936344..1937318	+	975	NP_417063.1	lepB	b2568			signal peptidase I
1934529..1936328	+	1800	NP_417064.1	lepA	b2569			30S ribosomal subunit biogenesis factor LepA
1933852..1934331	+	480	NP_417065.1	rseC	b2570			protein RseC
1932899..1933855	+	957	NP_417066.1	rseB	b2571			anti-sigma factor stabilizing protein RseB
1932249..1932899	+	651	NP_417067.1	rseA	b2572			anti-sigma-E factor RseA
1931641..1932216	+	576	NP_417068.1	rpoE	b2573			RNA polymerase sigma factor RpoE
1931489..1931644	+	156	YP_009518806.1	rseD	b4725			rpoE leader peptide
1929611..1931233	-	1623	NP_417069.1	nadB	b2574			L-aspartate oxidase
1928889..1929626	+	738	NP_417070.2	yfiC	b2575			tRNA m(6)A37 methyltransferase
1927423..1928757	-	1335	NP_417071.1	srmB	b2576			ATP-dependent RNA helicase SrmB
1926333..1927214	+	882	NP_417072.4	yfiE	b2577			putative LysR-type DNA-binding transcriptional regulator YfiE
1925643..1926230	-	588	NP_417073.1	eamB	b2578			cysteine/O-acetylserine exporter EamB
1925204..1925587	+	384	NP_417074.1	grcA	b2579			stress-induced alternate pyruvate formate-lyase subunit
1924210..1924899	-	690	NP_417075.1	ung	b2580			uracil-DNA glycosylase
1923125..1924162	+	1038	NP_417076.1	yfiF	b2581			putative methyltransferase YfiF
1922499..1922918	-	420	NP_417077.1	trxC	b2582			reduced thioredoxin 2
1921732..1922430	-	699	NP_417078.4	tapT	b2583			tRNA 3-amino-3-carboxypropyltransferase
1919040..1921700	-	2661	NP_417079.1	patZ	b2584			peptidyl-lysine N-acetyltransferase
1918910..1918951	-	42	YP_010051192.1	pssL	b4782			protein PssL
1917571..1918926	-	1356	NP_417080.4	pssA	b2585			phosphatidylserine synthase
1917202..1917525	-	324	NP_417081.2	yfiM	b2586			DUF2279 domain-containing protein YfiM
1915907..1917205	+	1299	NP_417082.1	kgtP	b2587			alpha-ketoglutarate:H(+) symporter
1915666..1915728	-	63	YP_010051193.1	yfiS	b4783			protein YfiS
1915465..1915584	+	120		rrfG	b2588			5S ribosomal RNA
1912469..1915372	+	2904		rrlG	b2589			23S ribosomal RNA
1912209..1912284	+	76		gltW	b2590			tRNA-Glu
1910496..1912037	+	1542		rrsG	b2591			16S ribosomal RNA
1907480..1910053	+	2574	NP_417083.1	clpB	b2592			chaperone protein ClpB
1907358..1907500	+	143		ryfD	b4609			small regulatory RNA RyfD
1906619..1907350	+	732	NP_417084.1	yfiH	b2593			purine nucleoside phosphorylase YfiH
1905642..1906622	+	981	NP_417085.1	rluD	b2594			23S rRNA pseudouridine(1911/1915/1917) synthase
1904770..1905507	-	738	NP_417086.1	bamD	b2595			outer membrane protein assembly factor BamD
1904158..1904499	-	342	NP_417088.1	raiA	b2597			ribosome-associated inhibitor A
1904111..1904272	-	162		raiZ	b4805			small RNA RaiZ
1904007..1904054	-	48	NP_417089.1	pheL	b2598			phe operon leader peptide
1902748..1903908	-	1161	NP_417090.1	pheA	b2599			fused chorismate mutase/prephenate dehydratase
1901584..1902705	+	1122	NP_417091.1	tyrA	b2600			fused chorismate mutase/prephenate dehydrogenase
1900503..1901573	+	1071	NP_417092.1	aroF	b2601			3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive
1899928..1900293	-	366	NP_417093.2	yfiL	b2602			DUF2799 domain-containing lipoprotein YfiL
